Specimen ID,Insitution or collector,Date DNA Extracted,Species,Museum Label,Caste,Species Determination By,Collection Month,Collection Day,Collection Year,Latitude,Longitude,Country,Place Name,No. of ITS PCR,Proportion positive for Nosema
NIP00070,Pierre Rasmont,3/7/2011,terrestris (terrestris),St Stevens Woluwe/ De put ven dolumn/11.vi.1989,W,Pierre Rasmont 2009,6,11,1989,50.86802,4.45148,Belgium,Sin-Stevens Wolowe,3,0.00
NIP00071,Pierre Rasmont,3/7/2011,terrestris (terrestris),Grand Manil/ 13-07-1991/ Bastogne S,W,Pierre Rasmont 2009,7,13,1991,50.55707,4.67548,Belgium,"Grand Manil, Gembloux",9,0.89
NIP00072,Pierre Rasmont,3/8/2011,terrestris (terrestris),La Chartreuse/ Liege/1-7-89,W,Pierre Rasmont 2009,7,1,1989,50.62827,5.59772,Belgium,"Chartreuse, Liege Province",3,0.00
NIP00073,Pierre Rasmont,3/8/2011,terrestris (terrestris),Jurbise B./ 05-vii-89/ A. Samain,W,Pierre Rasmont 2009,7,5,1989,50.53333,3.9,Belgium,Jurbise,12,1.00
NIP00074,Pierre Rasmont,3/8/2011,terrestris (terrestris),Gembloux/ 8-v-1991/ Leg. E. Builins,W,Pierre Rasmont 2009,5,8,1991,50.561293,4.701531,Belgium,Gembloux,3,0.00
NIP00075,Pierre Rasmont,3/8/2011,terrestris (terrestris),Wipion Vallie/ 26-vi-1991 leg. ?,W,Pierre Rasmont 2009,6,26,1991,50.42119,4.86331,Belgium,Wepion,3,0.00
NIP00076,Pierre Rasmont,3/8/2011,terrestris (terrestris),Dinant Wespin/ 15.7.1988/ leg. C Goffin,W,Pierre Rasmont 2009,7,15,1988,50.25547,4.89182,Belgium,"Wespin, Dinant",3,0.00
NIP00077,Pierre Rasmont,3/8/2011,terrestris (terrestris),"B. Hainaut, Mons/ Bois La Haut/ 6-vii (?)-1990",W,Pierre Rasmont 2009,,6,1990,50.4539,3.95893,Belgium,Mons,3,0.00
NIP00078,Pierre Rasmont,3/8/2011,terrestris (terrestris),Bouge/ 6-5-91/ P. Herion,W,Pierre Rasmont 2009,5,6,1991,50.47195,4.89152,Belgium,"Bouge, Namur",3,0.00
NIP00079,Pierre Rasmont,3/15/2011,terrestris (terrestris),Mariembourg/ Acut 1988/ Noe Regine,W,Pierre Rasmont 2009,,,1988,50.09369,4.51808,Belgium,Mariembourg,3,0.00
NIP00080,Pierre Rasmont,3/15/2011,terrestris (terrestris),B. Gembloux/Chemin Forestier/ Giakoumakis A. 31-v-1989,W,Pierre Rasmont 2009,5,31,1989,50.561293,4.701531,Belgium,Gembloux,3,0.00
NIP00081,Pierre Rasmont,3/15/2011,terrestris (terrestris),Walcheren/Oost Capelle/21.7.89/ Rubus dunes,W,Pierre Rasmont 2009,7,21,1989,51.567147,3.552582,Netherlands,Oostkapelle,3,0.00
NIP00082,Pierre Rasmont,3/15/2011,terrestris (terrestris),Chatelineau/ 24.viii.90/. Willem F.,W,Pierre Rasmont 2009,8,24,1990,50.41533,4.51986,Belgium,Châtelineau,3,0.00
NIP00083,"University of Wisconsin, Madison",4/4/2011,affinis,,M,J. Grixti,9,4,1981,43.0766,-89.4007,USA,"University of Wisconsin, Madison WI",3,0.00
NIP00084,"University of Wisconsin, Madison",4/4/2011,affinis,,M,J. Grixti,9,4,1981,43.0766,-89.4007,USA,"University of Wisconsin, Madison WI",3,0.00
NIP00085,"University of Wisconsin, Madison",4/4/2011,affinis,,M,J. Grixti,9,4,1981,43.0766,-89.4007,USA,"University of Wisconsin, Madison WI",3,0.00
NIP00086,"University of Wisconsin, Madison",4/4/2011,affinis,,M,J. Grixti,9,4,1981,43.0766,-89.4007,USA,"University of Wisconsin, Madison WI",3,0.00
NIP00087,"University of Wisconsin, Madison",4/6/2011,affinis,,M,J. Grixti,9,23,1985,43.0444,-89.4452,USA,"Madison, WI",3,0.00
NIP00088,"University of Wisconsin, Madison",4/6/2011,affinis,,W,J. Grixti,8,3,1984,43.0411,-89.4385,USA,"B.L. Nakoma Golf Course, Madison WI",3,0.00
NIP00089,"University of Wisconsin, Madison",4/6/2011,affinis,,W,J. Grixti,8,22,1983,43.0614,-89.5325,USA,"Reider Farm, Madison WI",3,0.00
NIP00090,"University of Wisconsin, Madison",4/6/2011,affinis,,M,J. Grixti,9,14,1985,43.07306,-89.40111,USA,"Madison, WI",3,0.00
NIP00091,"University of Wisconsin, Madison",4/6/2011,affinis,,M,RW Husband,9,19,1996,43.0965,-90.5375,USA,"Thomas Wet Prairie; T7N R1W Sect 7, Grant Co. WI",3,0.00
NIP00092,"University of Wisconsin, Madison",4/13/2011,affinis,H 8/28/1984,W,S Krauth,8,28,1984,,,NA,NA,3,0.00
NIP00093,"University of Wisconsin, Madison",4/13/2011,affinis,,W,RW Husband,7,18,1995,43.0965,-90.5375,USA,"Thomas Wet Prairie; T7N R1W Sect 7, Grant Co. WI",3,0.00
NIP00094,"University of Wisconsin, Madison",4/13/2011,affinis,,W,RW Husband,6,29,1993,43.0965,-90.5375,USA,"Thomas Wet Prairie; T7N R1W Sect 7, Grant Co. WI",3,0.00
NIP00095,"University of Wisconsin, Madison",4/13/2011,affinis,,W,RW Husband,7,20,1993,43.0965,-90.5375,USA,"Thomas Wet Prairie; T7N R1W Sect 7, Grant Co. WI",3,0.00
NIP00096,"University of Wisconsin, Madison",4/13/2011,affinis,,W,RW Husband,7,4,1994,44.2272,-91.7971,USA,"T20N R12W Sect 9, Buffalo Co. WI",3,0.00
NIP00097,"University of Wisconsin, Madison",4/13/2011,affinis,,W,RW Husband,8,8,1995,43.0965,-90.5375,USA,"Thomas Wet Prairie; T7N R1W Sect 7, Grant Co. WI",3,0.00
NIP00098,"University of Wisconsin, Madison",4/13/2011,affinis,,M,RW Husband,7,31,1994,42.893,-90.675,USA,"Bush Clover Prairie; T5N R3W Sect 17, Grant Co. WI",3,0.00
NIP00099,"University of Wisconsin, Madison",4/18/2011,affinis,,M,R.W. Husband,9,6,1997,43.0965,-90.5375,USA,"Thomas Wet Prairie; T7N R1W Sect 7, Grant Co. WI",3,0.00
NIP00100,"University of Wisconsin, Madison",4/18/2011,affinis,,,R.W. Husband,7,18,1995,43.0965,-90.5375,USA,"Thomas Wet Prairie; T7N R1W Sect 7, Grant Co. WI",3,0.00
NIP00101,"University of Wisconsin, Madison",4/18/2011,affinis,,W,J. Grixti,8,,2001,42.87017,-88.50767,USA,"Kettle Moraine State Forest - Southern Unit, Waukesha Co. Wisconsin",9,1.00
NIP00102,"University of Wisconsin, Madison",4/18/2011,terricola,,,Krauth 1983,,,1983,43.0614,-89.5325,USA,"Reider Farm, Madison WI",3,0.00
NIP00103,"University of Wisconsin, Madison",4/18/2011,terricola,Cass Co. ND/20-viii-1983/col. D. Sommataro,W,Krauth 1983,8,20,1983,47.071168,-97.121558,USA,"Cass County, ND",3,0.00
NIP00104,"University of Wisconsin, Madison",4/18/2011,terricola,Cass Co. ND/20-viii-1983/col. D. Sommataro,M,Krauth 1983,8,20,1983,47.071168,-97.121558,USA,"Cass County, ND",3,0.00
NIP00105,"University of Wisconsin, Madison",4/18/2011,terricola,Cass Co. ND/20-viii-1983/col. D. Sommataro,M,Krauth 1983,8,20,1983,47.071168,-97.121558,USA,"Cass County, ND",3,0.00
NIP00106,"University of Wisconsin, Madison",4/19/2011,affinis,,M,J. Grixti,10,13,1993,43.5745,-90.652,USA,"0.5 mi W LaFarge, Doughbough Road, Vernon Co., WI",3,0.00
NIP00107,"University of Wisconsin, Madison",4/19/2011,affinis,,M,J. Grixti,9,28,1993,43.18333,-80.19778,USA,"Lone Rock, Richland Co. WI",3,0.00
NIP00108,"University of Wisconsin, Madison",4/19/2011,affinis,,W,LaBerge,9,4,1993,43.0965,-90.5375,USA,"Thomas Wet Prairie; T7N R1W Sect 7, Grant Co. WI",3,0.00
NIP00109,University of Minnesota,4/19/2011,affinis,,M,R.W. Thorp,9,8,1992,44.765153,-92.823124,USA,"Pt. Douglas Cemetary, Washington Co. MN",3,0.00
NIP00110,University of Minnesota,4/19/2011,affinis,,W,R.W. Thorp,9,19,1990,44.797335,-92.824331,USA,"Lost Valley SNA, Washington Co. MN",3,0.00
NIP00111,University of Minnesota,4/19/2011,affinis,,W,R.W. Thorp,9,4,1991,44.765445,-92.822639,USA,"Lost Valley SNA, Washington Co. MN",3,0.00
NIP00112,University of Minnesota,4/19/2011,affinis,,M,R.W. Thorp,7,31,1991,44.8625,-92.7835,USA,"Alton State Park, Washington Co. MN",3,0.00
NIP00113,Pierre Rasmont,4/21/2011,terrestris (terrestris),"F. Var Gonfaron Le Reboul/KN8199, 220m, 13.vii.1991, leg. P Rasmont, S/Lavanula ",W,P. Rasmont 2009,7,13,1991,43.320274,6.288419,France,"Var, Gonfaron",3,0.00
NIP00114,Pierre Rasmont,4/21/2011,terrestris (terrestris),"F. Var Gonfaron Le Reboul/KN8199, 220m, 13.vii.1991, leg. P Rasmont, S/Lavanula ",W,P. Rasmont 2009,7,13,1991,43.320274,6.288419,France,"Var, Gonfaron",12,0.08
NIP00115,Pierre Rasmont,4/21/2011,terrestris (terrestris),"F. Var Gonfaron Le Reboul/KN8199, 220m, 13.vii.1991, leg. P Rasmont, S/Lavanula ",W,P. Rasmont 2009,7,13,1991,43.320274,6.288419,France,"Var, Gonfaron",3,0.00
NIP00116,Pierre Rasmont,4/21/2011,terrestris (terrestris),"F. Var Gonfaron Le Reboul/KN8199, 220m, 13.vii.1991, leg. P Rasmont, S/Lavanula ",W,P. Rasmont 2009,7,13,1991,43.320274,6.288419,France,"Var, Gonfaron",12,0.25
NIP00117,Pierre Rasmont,4/21/2011,terrestris (terrestris),"F. Var Gonfaron Le Reboul/KN8199, 220m, 13.vii.1991, leg. P Rasmont, S/Lavanula ",W,P. Rasmont 2009,7,13,1991,43.320274,6.288419,France,"Var, Gonfaron",3,0.00
NIP00118,Pierre Rasmont,4/21/2011,terrestris (terrestris),"F. Var Cogolin, Les Falsses KN9889, 8m/22.vii.1991, leg. P Rasmont/ S/Echium pla",W,P. Rasmont 2009,7,22,1991,43.251024,6.532911,France,"Var, Cogolin",12,0.08
NIP00119,Pierre Rasmont,4/21/2011,terrestris (terrestris),"F. Var Cogolin, Les Falsses KN9889, 8m/22.vii.1991, leg. P Rasmont/ S/Echium pla",W,P. Rasmont 2009,7,22,1991,43.251024,6.532911,France,"Var, Cogolin",3,0.00
NIP00120,Pierre Rasmont,4/22/2011,terrestris (terrestris),"F. Var Cogolin, Les Falsses KN9889, 8m/22.vii.1991, leg. P Rasmont/ S/Echium pla",W,P. Rasmont 2009,7,22,1991,43.251024,6.532911,France,"Var, Cogolin",12,0.33
NIP00121,Pierre Rasmont,4/22/2011,terrestris (terrestris),"F. Var Cogolin, Les Falsses KN9889, 8m/22.vii.1991, leg. P Rasmont/ S/Echium pla",W,P. Rasmont 2009,7,22,1991,43.251024,6.532911,France,"Var, Cogolin",3,0.00
NIP00122,Pierre Rasmont,4/22/2011,terrestris (terrestris),"F. Var Cogolin, Les Falsses KN9889, 8m/22.vii.1991, leg. P Rasmont/ S/Echium pla",W,P. Rasmont 2009,7,22,1991,43.251024,6.532911,France,"Var, Cogolin",3,0.00
NIP00123,Pierre Rasmont,4/22/2011,terrestris (terrestris),"F. Var Cogolin, Gran Bastide KN9889, 8m/22.vii.1991, leg. P Rasmont/ S/Lythrum s",W,P. Rasmont 2009,7,22,1991,43.251024,6.532911,France,"Var, Cogolin",3,0.00
NIP00124,Pierre Rasmont,4/22/2011,terrestris (terrestris),"F. Var Cogolin, Gran Bastide KN9889, 8m/22.vii.1991, leg. P Rasmont/ S/Lythrum s",W,P. Rasmont 2009,7,22,1991,43.251024,6.532911,France,"Var, Cogolin",12,0.25
NIP00125,Pierre Rasmont,4/26/2011,terrestris (terrestris),"F. Var Cogolin, Gran Bastide KN9889, 8m/22.vii.1991, leg. P Rasmont/ S/Lythrum s",W,P. Rasmont 2009,7,22,1991,43.251024,6.532911,France,"Var, Cogolin",3,0.00
NIP00126,Pierre Rasmont,4/26/2011,terrestris (terrestris),"F. Alpes Hte Prov. Brunet/La Grand Logisson/660m, 27.vii.1991/leg P Rasmont/ s C",W,P. Rasmont 2009,7,27,1991,43.892606,6.029997,France,"Alpes-de-Haute-Provence, Brunet",3,0.00
NIP00127,Pierre Rasmont,4/26/2011,terrestris (terrestris),"F. Alpes Hte Prov. Brunet/La Grand Logisson/660m, 27.vii.1991/leg P Rasmont/ s C",W,P. Rasmont 2009,7,27,1991,43.892606,6.029997,France,"Alpes-de-Haute-Provence, Brunet",3,0.00
NIP00128,Pierre Rasmont,4/26/2011,terrestris (terrestris),"F. Alpes Hte Prov. Brunet/La Grand Logisson/660m, 27.vii.1991/leg P Rasmont/ s C",W,P. Rasmont 2009,7,27,1991,43.892606,6.029997,France,"Alpes-de-Haute-Provence, Brunet",3,0.00
NIP00129,Pierre Rasmont,4/26/2011,terrestris (terrestris),"F. Var, Collobriere, Piste des Oretes/Rouve Gavot/ KN8495, 850m 20.v.90, rec. V ",W,P. Rasmont 2009,5,20,1990,43.23826,6.30923,France,"Var, Collobrières",3,0.00
NIP00130,Pierre Rasmont,4/26/2011,terrestris (terrestris),"F. Var, Collobriere, Piste des Oretes/Rouve Gavot/ KN8495, 850m 20.v.90, rec. V ",W,P. Rasmont 2009,5,20,1990,43.23826,6.30923,France,"Var, Collobrières",12,0.75
NIP00131,Michigan State,5/17/2011,occidentalis,"CO: Grand Co, Winter Park, 9-Aug--1991; FW Stehr 9000ft",W,,8,9,1991,39.891654,-105.763062,USA,"Winter Park, Grand Co., CO",6,0.00
NIP00132,Michigan State,5/17/2011,occidentalis,"CO: Garfield Co, Glenwood Springs, 7-Aug-1991; RL Fischer",W,,8,7,1991,39.550538,-107.324776,USA,"Glenwood Springs, Garfield Co., CO",6,0.00
NIP00133,Michigan State,5/17/2011,occidentalis,"AZ: Santa Cruz Co, Coronado N.F., 4-Aug-1991, RL Fischer",W,,8,4,1991,31.729514,-110.758099,USA,"Coronado National Forest, AZ ",6,0.00
NIP00134,Michigan State,5/17/2011,occidentalis,"CO: Grand Co, Arapahoe N.F.; T3N R76W S15; 9-Aug-1991; RL Fischer 8500ft",W,,8,9,1991,40.2138911,-105.9005448,USA,"Arapaho National Forest, CO (T3N R76W S15)",6,0.00
NIP00135,Michigan State,5/17/2011,occidentalis,"CO: Grand Co, Arapahoe N.F., Willow Creek Campground, 8-Aug-1991, RL Fischer 800",W,,8,8,1991,40.142787,-105.952265,USA,"Arapaho National Forest, CO",6,0.00
NIP00136,Michigan State,5/17/2011,affinis,"MICH: Okemos, Ingham Co. 15-17 June 1986, RA Dahlem",W,,6,,1986,42.722257,-84.427474,USA,"Okemos, Ingham County, MI",6,0.00
NIP00137,University of Minnesota,5/18/2011,affinis,,W,R.W. Thorp,7,15,1991,44.763556,-92.817274,USA,"Carpenter Nature Center, Washington Co. MN",6,0.17
NIP00138,University of Minnesota,5/18/2011,affinis,,W,R.W. Thorp,7,20,1992,44.763556,-92.817274,USA,"Carpenter Nature Center, Washington Co. MN",6,0.00
NIP00139,University of Minnesota,5/18/2011,affinis,,M,R.W. Thorp,4,4,1991,44.765153,-92.823124,USA,"Point Douglas Cemetery, Washington Co. MN",6,0.00
NIP00140,University of Minnesota,5/18/2011,affinis,,M,S Czarnik,9,19,1992,38.725,-78.54,USA,"G. Washington Nat. For. Passage Cr. Rt. 274, Page VA",6,0.50
NIP00141,University of Minnesota,5/18/2011,affinis,,W,R.W. Thorp,9,19,1990,44.797335,-92.824331,USA,"Lost Valley SNA, Washington Co. MN",6,0.33
NIP00142,University of Minnesota,5/18/2011,pensylvanicus,,W,R.W. Thorp,8,3,1992,44.763556,-92.817274,USA,"Carpenter Nature Center, Washington Co. MN",6,0.00
NIP00143,University of Minnesota,5/18/2011,pensylvanicus,,W,R.W. Thorp,14,14,1992,45.183128,-93.624288,USA,"Crow Hassan Park, Hennepin Co. MN",6,0.17
NIP00144,University of Minnesota,5/19/2011,pensylvanicus,,W,R.W. Thorp,8,27,1992,45.183128,-93.624288,USA,"Crow Hassan Park, Hennepin Co. MN",6,0.00
NIP00145,University of Minnesota,5/19/2011,pensylvanicus,,M,R.W. Thorp,9,17,1992,45.183128,-93.624288,USA,"Crow Hassan Park, Hennepin Co. MN",6,0.00
NIP00146,University of Minnesota,5/19/2011,pensylvanicus,,W,S Czarnik,8,4,1981,31.94382,-90.943847,USA,"Claiborne County, MI",6,0.00
NIP00147,University of Minnesota,5/19/2011,pensylvanicus,,M,R.W. Thorp,8,20,1991,45.183128,-93.624288,USA,"Crow Hassan Park, Hennepin Co. MN",6,0.00
NIP00148,University of Minnesota,5/19/2011,pensylvanicus,,W,R.W. Thorp,8,4,1993,44.8625,-92.7835,USA,"Alton State Park, Washington Co. MN",6,0.00
NIP00149,University of Minnesota,5/19/2011,pensylvanicus,,W,S Czarnik,9,21,1983,30.209702,-97.698227,USA,"Austin, TX",6,0.00
NIP00150,University of Minnesota,5/20/2011,pensylvanicus,,W,R.W. Thorp,8,27,1991,45.183128,-93.624288,USA,"Crow Hassan Park, Hennepin Co. MN",6,0.17
NIP00151,University of Minnesota,5/20/2011,pensylvanicus,,W,R.W. Thorp,7,23,1992,45.183128,-93.624288,USA,"Crow Hassan Park, Hennepin Co. MN",6,0.00
NIP00152,University of Minnesota,5/20/2011,terricola,,W,S Czarnik,8,8,1999,46.81225,-90.822268,USA,Bayfield Co. WI,6,0.00
NIP00153,University of Minnesota,5/20/2011,terricola,"MN: Hubbard Co, Nander of the North Nursery, JB trap 9/93, A Pruszinski",W,,9,,1993,47.186053,-94.941142,USA,"Hubbard County, MN",6,0.00
NIP00154,University of Minnesota,5/20/2011,terricola,"MN: Hubbard Co, Nander of the North Nursery, JB trap 9/93, A Pruszinski",W,,9,,1993,47.186053,-94.941142,USA,"Hubbard County, MN",6,0.00
NIP00155,University of Minnesota,5/20/2011,terricola,"MN: Hubbard Co, Nander of the North Nursery, JB trap 9/93, A Pruszinski",W,,9,,1993,47.186053,-94.941142,USA,"Hubbard County, MN",6,0.00
NIP00156,University of Minnesota,5/20/2011,terricola,"MN: Hubbard Co, Nander of the North Nursery, JB trap 9/93, A Pruszinski",W,,9,,1993,47.186053,-94.941142,USA,"Hubbard County, MN",6,0.00
NIP00157,University of Minnesota,5/23/2011,terricola,,Q,S Czarnik,6,23,2001,47.789502,-90.197134,USA,"7 mi. E. Gr. Marais, Cook Co. MN",9,0.44
NIP00158,University of Minnesota,5/23/2011,terricola,,W,S Czarnik,7,10,1987,45.660345,-95.506634,USA,"Strandness Praire 4 mi. NNE Starbuck, Pope Co. MN",6,0.00
NIP00159,University of Minnesota,5/23/2011,terricola,,Q,R.W. Thorp,6,18,1990,45.40272,-93.204197,USA,"Cedar Creek Nat. Hist., Anoka Co. MN",3,0.00
NIP00160,University of Minnesota,5/23/2011,terricola,,W,S Czarnik,8,8,1999,46.81225,-90.822268,USA,Bayfield Co. WI,3,0.00
NIP00161,University of Minnesota,5/23/2011,terricola,,W,R.W. Thorp,6,24,1992,45.07546,-93.200349,USA,"Long Lake Regional Park, Ramsey Co. MN",3,0.00
NIP00162,University of Minnesota,5/23/2011,terricola,,W,S Czarnik,6,21,1982,47.521799,-95.398533,USA,Clearwater Co. MN,3,0.00
NIP00163,University of Minnesota,5/23/2011,terricola,,Q,,4,24,1999,45.805119,-92.288813,USA,Burnett Co. WI,3,0.00
NIP00164,University of Minnesota,5/28/2011,occidentalis,,Q,S Czarnik,4,4,1993,32.958327,-115.172125,USA,"Glamis Sand Dunes, Imperial Co. CA",3,0.00
NIP00165,University of Minnesota,5/28/2011,terricola,"MN: Hubbard Co, Nander of the North Nursery, JB trap 9/93, A Pruszinski",W,,9,,1993,47.186053,-94.941142,USA,"Hubbard County, MN",3,0.00
NIP00166,University of Minnesota,5/28/2011,terricola,"MN: Hubbard Co, Nander of the North Nursery, JB trap 9/93, A Pruszinski",W,,9,,1993,47.186053,-94.941142,USA,"Hubbard County, MN",3,0.00
NIP00167,University of Minnesota,5/28/2011,terricola,"MN: Hubbard Co, Nander of the North Nursery, JB trap 9/93, A Pruszinski",W,,9,,1993,47.186053,-94.941142,USA,"Hubbard County, MN",3,0.00
NIP00168,University of Minnesota,5/28/2011,terricola,,M,S Czarnik,8,14,1982,45.322541,-94.546514,USA,"Eden Valley, MN",3,0.00
NIP00169,University of Minnesota,5/28/2011,terricola,"MN: Hubbard Co, Nander of the North Nursery, JB trap 9/93, A Pruszinski",W,,9,,1993,47.186053,-94.941142,USA,"Hubbard County, MN",3,0.00
NIP00170,University of Minnesota,5/28/2011,terricola,"MN: Hubbard Co, Nander of the North Nursery, JB trap 9/93, A Pruszinski",W,,9,,1993,47.186053,-94.941142,USA,"Hubbard County, MN",3,0.00
NIP00171,Michigan State,5/31/2011,pensylvanicus,"TX: Burleson Co. 10 mi SW of Caldwell on Hwy21, 11 May 1991, FW Stehr",W,,5,5,1991,30.423259,-96.806574,USA,"10 mi SW of Caldwell (Hwy 21), Burleson Co. TX",3,0.00
NIP00173,Pierre Rasmont,5/31/2011,terrestris (terrestris),"F. Var Gonfaron, Les Ribas, Adretsec, KP8001, 153m, 23.V.90, B Dochy rec",M,,5,23,1990,43.320274,6.288419,France,"Var, Gonfaron",3,0.00
NIP00174,Pierre Rasmont,5/31/2011,terrestris (terrestris),"F. Var Gonfaron, Les Ribas, Adretsec, KP8001, 153m, 23.V.90, B Dochy rec",M,,5,23,1990,43.320274,6.288419,France,"Var, Gonfaron",3,0.00
NIP00175,Pierre Rasmont,5/31/2011,terrestris (terrestris),"F. Var Gonfaron, Le Reboul, KN8199, 220m 13.vii.1991, leg. P Rasmont, Lavendula ",M,,7,13,1991,43.320274,6.288419,France,"Var, Gonfaron",3,0.00
NIP00176,Pierre Rasmont,5/31/2011,terrestris (terrestris),"F. Var Gonfaron, Le Reboul, KN8199, 220m 13.vii.1991, leg. P Rasmont, Lavendula ",M,,7,13,1991,43.320274,6.288419,France,"Var, Gonfaron",3,0.00
NIP00177,Pierre Rasmont,5/31/2011,terrestris (lusitanicus),"F. Var Cogolin, Gran Bastide KN9889, 8m/22.vii.1991, leg. P Rasmont/ S/Lythrum s",W,,7,22,1991,43.251024,6.532911,France,"Var, Cogolin",3,1.00
NIP00178,Michigan State,6/2/2011,pensylvanicus,Mich: Okemos; Ingham Co.; 2 July 1986; G.A. Dahlem,M,,7,2,1986,42.722257,-84.427474,USA,"Okemos, Ingham County, MI",3,0.00
NIP00180,Michigan State,6/2/2011,pensylvanicus,Fla: Alachua Co.; Gainesville; 15 Oct 1990; RL Fischer,W,,10,15,1990,29.651634,-82.324826,USA,"Gainesville, FL",3,0.00
